nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;158500;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;144000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;176000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;135500;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;122500;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;129500;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;139000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;135500;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;156500;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;156500;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;195500;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";1998;Tahun;150900;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;171000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;210000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;160000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;218000;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;150000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;170000;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;150000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;160000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;170000;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;218000;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;231000;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;208800;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;153000;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;130000;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;170500;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;208800;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;187000;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";1999;Tahun;145000;"NUSA TENGGARA BARAT"
